Date,Draw Date,Main Numbers 1,Main Numbers 2,Main Numbers 3,Main Numbers 4,Main Numbers 5,Main Numbers 6,Main Numbers 7,Bonus Number,Jackpot,Prize Breakdown,Total Sales,Tickets Sold,Total Winners,Winning Ratio,Sales Difference,Millions Count,Max Millions Numbers,Max Millions Next Draw
12-25-2009,"Friday, December 25 2009",8,9,12,13,29,30,31,47,"$25,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$25,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$103,709.30"", ""winners"": ""3\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 2\n\n\nBritish Columbia: 1"", ""prize_fund"": ""$311,127.90""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,222.60"", ""winners"": ""50"", ""prize_fund"": ""$311,130.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$116.60"", ""winners"": ""3,336"", ""prize_fund"": ""$388,977.60""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""73,129"", ""prize_fund"": ""$1,462,580.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""66,072"", ""prize_fund"": ""$1,321,440.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""638,451"", ""prize_fund"": ""-""}]","$25,196,970","5,039,394","781,041",15.0%,+18.16%,0,,0
12-18-2009,"Friday, December 18 2009",8,10,15,17,33,34,35,13,"$20,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$20,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$88,862.00"", ""winners"": ""3\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nWestern Canada: 2\n\n\nOntario: 1"", ""prize_fund"": ""$266,586.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,553.90"", ""winners"": ""48"", ""prize_fund"": ""$266,587.20""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$128.20"", ""winners"": ""2,599"", ""prize_fund"": ""$333,191.80""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""59,086"", ""prize_fund"": ""$1,181,720.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""55,873"", ""prize_fund"": ""$1,117,460.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""529,944"", ""prize_fund"": ""-""}]","$21,324,370","4,264,874","647,553",15.0%,+13.41%,0,,0
12-11-2009,"Friday, December 11 2009",1,4,5,7,22,29,48,13,"$15,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$15,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$229,307.40"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$7,643.60"", ""winners"": ""30"", ""prize_fund"": ""$229,308.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$115.30"", ""winners"": ""2,487"", ""prize_fund"": ""$286,751.10""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""55,641"", ""prize_fund"": ""$1,112,820.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""51,995"", ""prize_fund"": ""$1,039,900.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""476,641"", ""prize_fund"": ""-""}]","$18,803,630","3,760,726","586,794",16.0%,+2.88%,0,,0
12-04-2009,"Friday, December 4 2009",1,6,13,19,32,35,40,7,"$10,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$10,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$229,176.00"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 1"", ""prize_fund"": ""$229,176.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$6,030.90"", ""winners"": ""38"", ""prize_fund"": ""$229,174.20""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$125.90"", ""winners"": ""2,275"", ""prize_fund"": ""$286,422.50""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""50,000"", ""prize_fund"": ""$1,000,000.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""48,517"", ""prize_fund"": ""$970,340.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""447,053"", ""prize_fund"": ""-""}]","$18,276,390","3,655,278","547,884",15.0%,-27.10%,0,,0
11-27-2009,"Friday, November 27 2009",11,15,24,26,37,38,43,17,"$25,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$12,500,000.00"", ""winners"": ""2\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 2"", ""prize_fund"": ""$25,000,000.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$314,013.10"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,815.10"", ""winners"": ""54"", ""prize_fund"": ""$314,015.40""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$127.40"", ""winners"": ""3,082"", ""prize_fund"": ""$392,646.80""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""69,845"", ""prize_fund"": ""$1,396,900.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""65,521"", ""prize_fund"": ""$1,310,420.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""615,083"", ""prize_fund"": ""-""}]","$25,070,515","5,014,103","753,587",15.0%,-0.03%,0,,0
11-20-2009,"Friday, November 20 2009",2,8,28,30,36,39,42,24,"$20,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$20,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$313,778.60"", ""winners"": ""0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$8,480.50"", ""winners"": ""37"", ""prize_fund"": ""$313,778.50""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$130.60"", ""winners"": ""3,004"", ""prize_fund"": ""$392,322.40""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""69,662"", ""prize_fund"": ""$1,393,240.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""66,318"", ""prize_fund"": ""$1,326,360.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""613,685"", ""prize_fund"": ""-""}]","$25,076,895","5,015,379","752,706",15.0%,-2.50%,0,,0
11-13-2009,"Friday, November 13 2009",8,18,27,28,38,41,48,36,"$15,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$15,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$324,842.20"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nWestern Canada: 1"", ""prize_fund"": ""$324,842.20""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$7,389.80"", ""winners"": ""74"", ""prize_fund"": ""$546,845.20""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$115.50"", ""winners"": ""3,516"", ""prize_fund"": ""$406,098.00""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""70,520"", ""prize_fund"": ""$1,410,400.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""65,559"", ""prize_fund"": ""$1,311,180.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""626,283"", ""prize_fund"": ""-""}]","$25,720,240","5,144,048","765,953",15.0%,-53.05%,0,,0
11-06-2009,"Friday, November 6 2009",2,7,8,11,16,17,18,12,"$50,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$50,000,000.00"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nWestern Canada: 1"", ""prize_fund"": ""$50,000,000.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$133,187.50"", ""winners"": ""5\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nOntario: 3\n\n\nWestern Canada: 1\n\n\nBritish Columbia: 1"", ""prize_fund"": ""$665,937.50""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,643.50"", ""winners"": ""118"", ""prize_fund"": ""$665,933.00""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$109.20"", ""winners"": ""7,621"", ""prize_fund"": ""$832,213.20""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""163,251"", ""prize_fund"": ""$3,265,020.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""151,580"", ""prize_fund"": ""$3,031,600.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""1,395,493"", ""prize_fund"": ""-""}]","$54,779,660","10,955,932","1,718,069",16.0%,+56.26%,10,"9,14,24,35,37,38,40|1,3,10,24,31,32,42|24,28,30,32,43,44,47|2,19,30,38,40,46,47|6,8,11,21,23,28,48|7,11,14,16,34,44,46|10,13,17,18,26,28,40|1,4,10,21,29,36,40|6,9,10,24,29,47,49|2,14,16,18,23,36,44",0
10-30-2009,"Friday, October 30 2009",6,9,10,14,17,18,19,46,"$40,000,000","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$40,000,000.00"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$433,340.20"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nWestern Canada: 1"", ""prize_fund"": ""$433,340.20""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$5,855.90"", ""winners"": ""74"", ""prize_fund"": ""$433,336.60""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$115.70"", ""winners"": ""4,683"", ""prize_fund"": ""$541,823.10""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""101,759"", ""prize_fund"": ""$2,035,180.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""91,127"", ""prize_fund"": ""$1,822,540.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""890,062"", ""prize_fund"": ""-""}]","$35,057,030","7,011,406","1,087,706",16.0%,+31.83%,0,,15
10-23-2009,"Friday, October 23 2009",4,7,10,12,23,25,36,18,"$30,166,299.20","[{""match_type"": ""Match 7"", ""prize_per_winner"": ""$30,166,299.20"", ""winners"": ""Carried Over -  0"", ""prize_fund"": ""$0.00""}, {""match_type"": ""Match 6 plus Bonus"", ""prize_per_winner"": ""$323,062.00"", ""winners"": ""1\r\n\t\t\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t\t\t\n\nWestern Canada: 1"", ""prize_fund"": ""$323,062.00""}, {""match_type"": ""Match 6"", ""prize_per_winner"": ""$3,800.70"", ""winners"": ""85"", ""prize_fund"": ""$323,059.50""}, {""match_type"": ""Match 5"", ""prize_per_winner"": ""$107.10"", ""winners"": ""3,769"", ""prize_fund"": ""$403,659.90""}, {""match_type"": ""Match 4"", ""prize_per_winner"": ""$20.00"", ""winners"": ""79,609"", ""prize_fund"": ""$1,592,180.00""}, {""match_type"": ""Match 3 plus Bonus"", ""prize_per_winner"": ""$20.00"", ""winners"": ""72,927"", ""prize_fund"": ""$1,458,540.00""}, {""match_type"": ""Match 3"", ""prize_per_winner"": ""Free Play Ticket"", ""winners"": ""682,108"", ""prize_fund"": ""-""}]","$26,592,350","5,318,470","838,499",16.0%,+15.56%,0,,0
